year;make;count(*)
2001;ACURA;6
2001;AM GENERAL;1
2001;AMERICAN IRONHORSE;7
2001;APRILIA;16
2001;ARCTIC CAT;51
2001;ASTON MARTIN;2
2001;ATK;7
2001;AUDI;13
2001;AVANTI;1
2001;BENTLEY;3
2001;BIG DOG;8
2001;BIMOTA;1
2001;BLUE BIRD;4
2001;BMW;46
2001;BOMBARDIER;6
2001;BUELL;5
2001;BUICK;4
2001;CADILLAC;4
2001;CANNONDALE;2
2001;CHANCE COACH TRANSIT BUS;1
2001;CHEVROLET;42
2001;CHRYSLER;12
2001;COBRA;2
2001;DAEWOO;3
2001;DODGE;22
2001;DUCATI;27
2001;E-TON;10
2001;EL DORADO;2
2001;FERRARI;3
2001;FORD;41
2001;FREIGHTLINER;19
2001;GAS GAS;3
2001;GILLIG;1
2001;GMC;25
2001;HARLEY DAVIDSON;36
2001;HINO;7
2001;HM;1
2001;HONDA;66
2001;HUSABERG;7
2001;HUSQVARNA;11
2001;HYUNDAI;6
2001;INDIAN;3
2001;INFINITI;4
2001;INTERNATIONAL;25
2001;ISUZU;11
2001;JAGUAR;7
2001;JEEP;4
2001;KAWASAKI;61
2001;KENWORTH;8
2001;KIA;6
2001;KTM;28
2001;KYMCO;3
2001;LAFORZA;1
2001;LAMBORGHINI;2
2001;LAND ROVER;3
2001;LEXUS;7
2001;LINCOLN;4
2001;LOTUS;1
2001;MACK;14
2001;MAZDA;10
2001;MERCEDES-BENZ;22
2001;MERCURY;5
2001;MITSUBISHI;6
2001;MITSUBISHI FUSO;11
2001;MOTO GUZZI;5
2001;MOTOR COACH INDUSTRIES;4
2001;MV AGUSTA;2
2001;NEW FLYER;5
2001;NISSAN;13
2001;NOVA BUS CORPORATION;1
2001;OLDSMOBILE;5
2001;ORION BUS;3
2001;OSHKOSH MOTOR TRUCK CO.;2
2001;OTTAWA;3
2001;PANOZ;1
2001;PETERBILT;10
2001;PEUGEOT;3
2001;PLYMOUTH;2
2001;POLARIS;64
2001;PONTIAC;7
2001;PORSCHE;2
2001;QVALE;1
