MAKE,COUNT(*)
YAMAHA,1395
ARCTIC CAT,1122
HONDA,1105
POLARIS,1032
SKI-DOO,883
KAWASAKI,836
BMW,805
SUZUKI,677
MERCEDES-BENZ,635
CHEVROLET,602
FORD,570
HARLEY DAVIDSON,523
KTM,340
CAN-AM,310
GMC,310
INTERNATIONAL,292
NISSAN,292
TOYOTA,270
AUDI,266
DODGE,255
VOLKSWAGEN,252
DUCATI,243
APRILIA,229
KYMCO,228
FREIGHTLINER,226
TRIUMPH,226
LEXUS,179
PETERBILT,178
SEA-DOO,162
MAZDA,150
HUSQVARNA,147
KIA,142
HYUNDAI,137
VICTORY,137
MACK,132
KENWORTH,130
VOLVO,121
ISUZU,116
MITSUBISHI,113
WORKHORSE,113
HINO,111
JOHN DEERE,110
JAGUAR,108
BOMBARDIER,107
E-TON,107
CADILLAC,105
INFINITI,105
MITSUBISHI FUSO,104
CHRYSLER,102
UD,99
ACURA,96
PONTIAC,92
SATURN,92
SUBARU,88
HUSABERG,85
STERLING TRUCK,82
LINCOLN,80
BUELL,79
BIG DOG,77
BUICK,76
JEEP,75
PEUGEOT,74
TM,68
HYOSUNG,66
LAND ROVER,64
PORSCHE,62
RENAULT,61
FERRARI,59
SEAT,59
MOTO GUZZI,57
MV AGUSTA,55
MERCURY,54
AMERICAN IRONHORSE,52
RAM,47
COBRA,46
ASTON MARTIN,45
ARGO,44
STERLING,43
PIAGGIO,40
BENTLEY,39
SCION,39
BOBCAT,37
BLUE BIRD,36
INDIAN,35
MASERATI,33
CANNONDALE,32
SAAB,32
COUNTRY COACH MOTORHOME,31
EL DORADO,29
KUBOTA,29
VESPA,28
MOTOR COACH INDUSTRIES,27
LAMBORGHINI,25
ROLLS ROYCE,25
ALFA ROMEO,24
FIAT,24
MINI,24
LOTUS,22
MAYBACH,20
NEW FLYER,20
ORION BUS,20
AUTOCAR LLC.,19
HUMMER,18
OLDSMOBILE,17
CUB CADET,16
OSHKOSH MOTOR TRUCK CO.,16
SMART,16
PIERCE MFG. INC.,14
ATK,13
BETA,10
GAS GAS,10
GILLIG,10
KASEA,10
TESLA,10
LEM,9
AVANTI,7
HM,7
MORGAN,7
PANOZ,7
DAEWOO,6
NOVA BUS CORPORATION,6
OTTAWA,6
WESTERN RV,6
SALEEN,5
VENTO,5
AMERICAN LAFRANCE,4
MCLAREN,4
BUGATTI,3
CHANCE COACH TRANSIT BUS,2
CODA,2
PLYMOUTH,2
QVALE,2
SRT,2
VPG,2
WESTERN STAR,2
AM GENERAL,1
BERTONE,1
BIMOTA,1
CRANE CARRIER,1
FISKER,1
IC CORPORATION,1
LAFORZA,1
NASH,1
ROVER,1
